Campaign ID,Campaign Name,Prospect Status,Account ID,Account Name,domain,Country,Prospect ID,Opt-In,Opt-In Source,Opt-In Timestamp,Opt-Out Timestamp,Job Title,Prospect Source,opt_in_flag,opt_out_flag
FY23-Q3-global-PROD461-labor_day_sale,Labor Day Sale,No Show,0014M0000UsZgoUQAT,Proxima Technologies,proximatech.org,IND,0034M0000qGiIvDQAZ,Yes,referral program,2023-10-31 06:11:00,,Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-winter_savings_event,Winter Savings Event,No Show,0014M0000Ry0LPOQA7,Saturn Enterprises,saturnenterprises.org,USA,0034M0000ot9lXqQAI,Yes,online contest entry,2023-10-31 06:11:00,,Sst Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-annual_fall_sale,Annual Fall Sale,No Show,0014M0000mj44DgQAI,Silver Oak Enterprises,silveroakent.biz,ARGENTINA,0034M0000n1wwhWQAY,Yes,social media campaign,2023-10-29 06:11:00,,Business Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-winter_clearance,Winter Clearance,Registered,0014M0000GNNRu6QAH,Neptune Enterprises,neptuneenterprises.org,CHN,0034M0000oeOmTgQAJ,Yes,social media campaign,2023-10-29 06:11:00,,CGT Molecular Analysis Scientist,Advertisement,1,0
FY23-Q3-global-PROD461-back_to_school_sale,Back to School Sale,Attended,0014M0000ouJwBZQAY,Omega Enterprises,omegaenterprises.net,ESP,0034M0000c3WjP2QAJ,Yes,newsletter subscription,2023-10-29 06:11:00,,Senior Logistics Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-spring_break_sale,Spring Break Sale,No Show,0014M0000BhE6DqQAL,Aquarius Systems,aquariussystems.biz,CAN,0034M0000reCSIdQAM,Yes,event registration,2023-10-29 06:11:00,,"Application Analyst, Senior",Advertisement,1,0
FY23-Q3-global-PROD461-harvest_time_discounts,Harvest Time Discounts,No Show,0014M0000k4RUwvQAN,Quantum Dynamics,quantumdyn.info,DEU,0034M0000kUvH4JQAV,Yes,newsletter subscription,2023-10-29 06:11:00,,"Leader, Advanced Analytics",Advertisement,1,0
FY23-Q3-global-PROD461-annual_summer_clearance,Annual Summer Clearance,No Show,0014M0000DkP01UQAZ,Apex Innovations,apexinnov.com,USA,0034M0000m1tHqDQAU,Yes,social media campaign,2023-10-29 06:11:00,,Decision Analytics Associate,Advertisement,1,0
FY23-Q3-global-PROD461-spring_flower_sale,Spring Flower Sale,Responded,0014M0000ZC9WpeQAD,Galaxy Technologies,galaxytechnologies.net,GBR,0034M0000p3J3YwQAJ,Yes,event registration,2023-10-27 06:11:00,,IT Analyst/Developer,Advertisement,1,0
FY23-Q3-global-PROD461-fall_clearance,Fall Clearance,Attended,0014M0000kYyeJhQAJ,Hyperion Enterprises,hyperionenterprises.biz,USA,0034M0000ro1zxaQAI,Yes,newsletter subscription,2023-10-27 06:11:00,,Senior Risk Technology Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-summer_showdown,Summer Showdown,Registered,0014M0000RdTXmeQAH,Stellar Solutions,stellarsolutions.org,FRA,0034M0000ZdptbnQAB,Yes,social media campaign,2023-10-27 06:11:00,,Performance & Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-fall_fever_special,Fall Fever Special,No Show,0014M0000WoxXbvQAJ,Infinity Solutions,infinitysolutions.net,USA,0034M0000r9avNMQAY,Yes,newsletter subscription,2023-10-27 06:11:00,,"Direktør Analyse, Strategi Og Forretningsutvikling",Advertisement,1,0
FY23-Q3-global-PROD461-back_to_school_discounts,Back to School Discounts,Registered,0014M0000PHi1oQAD,Cygnus Solutions,cygnussolutions.net,GBR,0034M0000rJYrVAQA3,Yes,event registration,2023-10-27 06:11:00,,Senior Software Quality Assurance Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-annual_year_end_clearance,Annual Year End Clearance,Registered,0014M0000GNNRu6QAH,Neptune Enterprises,neptuneenterprises.org,CHN,0034M0000q8dcOLQAY,Yes,newsletter subscription,2023-10-27 06:11:00,,Clinical Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_blowout,Summer Blowout,Registered,0014M0000M58JzQQAV,Phoenix Technologies,phoenixtechnologies.org,USA,0034M0000pXBl5GQAZ,Yes,email subscription,2023-10-25 06:11:00,,"Senior Principal Analyst (Programs, Projects and Commercial Analytics)",Advertisement,1,0
FY23-Q3-global-PROD461-summer_splash_sale,Summer Splash Sale,No Show,0014M0000y1i1EQQAY,Polaris Innovations,polarisinnovations.org,USA,0034M0000qH1HP6QAM,Yes,email subscription,2023-10-25 06:11:00,,Procurement Analyst,Advertisement,1,0
